K,miss_rate,TD_RMSE,Outlier_RMSE,ODPPTD_RMSE,AN_RMSE
1000,0.14,3.167055785,3.167055785,2.803252709,1508.073872
1000,0.14,3.167055785,3.167055785,3.133913687,1228.913929
1000,0.14,3.167055785,3.167055785,3.170905863,1666.057989
1000,0.14,3.167055785,3.167055785,3.730297776,1334.000066
1000,0.14,3.167055785,3.167055785,3.184274223,1285.702256
1000,0.14,3.167055785,3.167055785,3.32522563,1394.133909
,,,,,
1000,0.16,3.167055785,3.167055785,3.284328814,2239.618183
1000,0.16,3.167055785,3.167055785,3.22332413,1819.677727
1000,0.16,3.167055785,3.167055785,3.532913233,1664.283221
1000,0.16,3.167055785,3.167055785,3.49784154,2195.646896
1000,0.16,3.167055785,3.167055785,3.097063682,1848.086122
1000,0.16,3.167055785,3.167055785,3.398016534,1510.909118
1000,0.16,3.167055785,3.167055785,3.968550222,2012.177871
1000,0.16,3.167055785,3.167055785,4.194659414,1460.916969
1000,0.16,3.167055785,3.167055785,3.137183415,1208.007672
1000,0.16,3.167055785,3.167055785,3.955144163,2166.371627
1000,0.16,3.167055785,3.167055785,3.528902515,1812.569541
,,,,,
1000,0.18,3.167055785,3.167055785,3.324997947,1412.423972
1000,0.18,3.167055785,3.167055785,3.040175401,1905.678381
1000,0.18,3.167055785,3.167055785,3.490978554,1321.135792
1000,0.18,3.167055785,3.167055785,3.060686842,1236.03883
1000,0.18,3.167055785,3.167055785,4.136845362,1099.22915
1000,0.18,3.167055785,3.167055785,3.532888766,1115.495371
1000,0.18,3.167055785,3.167055785,3.615983143,1853.323275
1000,0.18,3.167055785,3.167055785,3.938280842,1643.240089
1000,0.18,3.167055785,3.167055785,3.606063512,1543.457775
1000,0.18,3.167055785,3.167055785,4.073693889,1488.771272
1000,0.18,3.167055785,3.167055785,3.582059426,1461.879391
,,,,,
1000,0.2,3.167055785,3.167055785,3.532817873,1392.533169
1000,0.2,3.167055785,3.167055785,2.990001407,1728.345463
1000,0.2,3.167055785,3.167055785,3.469757767,2395.285152
1000,0.2,3.167055785,3.167055785,3.867364845,1686.876454
1000,0.2,3.167055785,3.167055785,3.541850271,1890.826227
1000,0.2,3.167055785,3.167055785,2.891054843,2618.775435
1000,0.2,3.167055785,3.167055785,3.018662312,1634.750482
1000,0.2,3.167055785,3.167055785,2.825666661,1429.567048
1000,0.2,3.167055785,3.167055785,2.973004911,2694.280284
1000,0.2,3.167055785,3.167055785,3.608416909,1650.839748
1000,0.2,3.167055785,3.167055785,3.27185978,1912.207946
